Word	Type	Frequency
隔離	X-VC	1
她們	X-Nh	1
母女	C-Na	1
見面	C-VA	1
意見	C-Na	12
指	X-VG	4
近期	X-Nd	1
之內	X-Ng	1
返回	X-VCL	1
母國	C-Nc	1
接下來	F-D	2
分居	C-VH	1
六	X-Neu	2
時候	C-Na	25
訴訟	X-Nv	7
大概	F-D	5
兩	X-Neu	10
前提	C-Na	1
也就是說	F-Dk	6
早	F-D	3
之前	X-Nd	7
住	X-VCL	6
居住	C-VA	2
狀況	C-Na	4
如何	C-VH	3
誰	X-Nh	8
著	F-Di	2
第一	X-Neu	7
任	X-Nf	4
婚姻	C-Na	22
兒子	C-Na	3
一起	F-D	3
第幾	X-Neu	1
第二	X-Neu	6
爭	X-VC	1
小孩	C-Na	5
幾	X-Neu	12
歲	X-Nf	4
大	C-VH	7
搬出去	X-VB	2
那裏	X-Ncd	4
中間	X-Ncd	1
協議	C-Na	1
原來	X-A	6
搬出來	X-VB	1
地方	C-Na	5
小	C-VH	2
房子	C-Na	3
環境	C-Na	3
優	C-VH	1
客觀	C-VH	1
條件	C-Na	1
改變	X-VC	1
的話	F-Cba	4
仍然	F-D	1
懷胎	C-VA	1
十	X-Neu	1
生下來	X-VB	1
阿	X-	1
捨得	X-VL	1
以後	X-Ng	3
看	X-VC	8
加拿大籍	C-Na	1
穩定	C-VHC	5
隨時	F-D	1
回去	C-VA	1
見	X-VE	1
而	F-Cbb	11
言	X-VE	1
負擔	X-VC	1
費用	C-Na	1
爭取到	X-VC	1
住在	X-VCL	1
居	X-VCL	1
裡	X-Ncd	1
適合	C-VH	2
成長	C-VH	1
至於	F-P	1
提供給	C-VD	2
財產表	C-Na	1
除此之外	F-Dk	1
至少	X-Da	1
4萬	X	1
地	X-DE	1
預定	X-VE	1
判決	X-VE	3
或是	F-Caa	6
禮拜五	X-Nd	1
出庭	C-VA	2
向	F-P	5
法官	C-Na	1
表達	X-VC	5
盡快	F-D	1
好了	F-T	1
安排	X-VE	7
社工	C-Na	2
相對	C-VH	1
並且	F-Cbb	1
針對	F-P	10
相處	C-VA	3
做出	X-VC	2
評估	X-VE	1
參考	X-VC	1
報告	C-Na	4
決定	X-VE	5
怎麼樣	C-VH	3
最	X-Dfa	4
不過	F-Cbb	1
考慮	X-VE	2
共同	X-A	3
持有	X-VJ	1
所謂	X-VK	8
段	X-Nf	4
時間	C-Na	7
父親	C-Na	1
母親	C-Na	2
上面	X-Ncd	2
同意	X-VK	2
看法	C-Na	5
既然	F-Cbb	4
如此	C-VH	1
探視	X-VC	1
等到	F-P	1
庭期	C-Na	5
讓	X-VL	13
機會	C-Na	1
謝謝	X-VJ	2
毒品	C-Na	6
危害	C-Na	2
防治	X-VC	2
條例	C-Na	2
7樓	X	1
偽	X-A	5
證罪	C-Na	5
03月	X	1
31日	X	3
規範	C-Na	1
檢察官	C-Na	18
犯罪	C-VA	4
要旨	C-Na	5
如	F-Cbb	8
起訴書	C-Na	5
載	X-VC	5
於	F-P	6
12月	X	7
5日	X	2
入境	C-VA	2
查獲	X-VE	1
行李箱	C-Na	1
高爾夫球袋	C-Na	11
藏有	X-VJ	2
檢驗	X-VC	1
海洛因	C-Na	2
重量	C-Na	1
達	X-VJ	1
公克	X-Nf	1
海洛因為	X-VG	1
列	X-VC	1
一級	C-Na	1
起訴	X-VC	5
運送	X-VC	1
罪	C-Na	1
罪名	C-Na	1
何	X-Nes	16
辯解	X-VE	5
行	X-Nf	2
出發地	C-Nc	1
幾月	X-Nd	1
日	X-Nd	2
搭乘	X-VC	1
飛機	C-Na	2
航班	C-Na	1
途中	C-Nc	1
有無	X-VJ	3
轉機	C-VA	1
隨身	F-D	1
行李	C-Na	2
託運	X-VC	1
根	X-Nf	1
桿子	C-Na	1
球桿	C-Na	1
它	X-Nh	2
帶入	X-VCL	1
認識	X-VJ	5
姓	C-Na	1
名	C-Na	1
真名	C-Na	1
答應	X-VE	1
付	C-VD	1
美金	C-Na	4
酬	C-Na	1
代價	C-Na	2
帶進	X-VC	1
接洽	X-VC	1
手機	C-Na	25
扣案	C-Na	1
證物	C-Na	1
提及	X-VE	1
哪	F-Nep	2
除了	F-P	6
外	X-Ng	1
東西	C-Na	2
目的	C-Na	7
用途	C-Na	1
進入	X-VCL	1
打電話	X-VB	1
碰面	C-VA	1
回答到	X-VE	1
之外	X-Ng	5
元	X-Nf	2
算是	X-VG	1
酬勞	C-Na	1
成功	C-VH	2
回到	X-VCL	6
泰國	C-Nc	1
接受	X-VC	4
覺得	X-VK	8
黃金	C-Na	4
入	X-VCL	1
高	C-VH	3
帶來	X-VC	2
就算	F-Cbb	3
裡面	X-Ncd	8
真的	F-D	4
攜帶	X-VC	1
違法	C-VA	3
不會	F-D	6
袋子	C-Na	1
檢查	X-VE	1
貨品	C-Na	1
這麼	F-D	2
信任	X-VJ	2
受騙	C-VH	1
合作	C-VH	2
生意	C-Na	1
才	X-Da	10
不疑有他	C-VH	1
追加	X-VC	1
進一步	F-D	7
具體	C-VH	1
幫助	C-Na	10
查到	X-VE	3
細節	C-Na	5
羈押	X-VC	1
代為	X-VF	4
審理	X-VC	5
會面	C-VA	1
案情	C-Na	4
必要	C-Na	4
連絡	X-VC	1
家人	C-Na	4
卷	C-Na	1
示	X-VE	1
9日	X	1
10點	X	1
40分	X	1
刑事庭	C-Nc	2
簡易字	C-Na	2
通姦	C-VA	5
陳玉華	C-Nb	2
新店區	C-Nc	1
中正路	C-Nc	1
資格	C-Na	1
外遇	C-Na	12
提起	X-VE	4
任職	X-VG	4
補習班	C-Nc	16
同事	C-Na	24
從往	X-VCL	2
密	C-VH	2
且	F-Cbb	2
其	F-Nep	10
簡訊	C-Na	42
記錄	C-Na	3
一些	X-Neqa	16
親密	C-VH	4
訊息	C-Na	4
加上	F-Cbb	3
常常	F-D	10
藉故	F-D	2
加班	C-VA	6
深夜	X-Nd	2
王彩燕	C-Nb	5
視訊	C-Na	2
交談	C-VA	3
因	F-Cbb	6
蒐集	X-VC	2
內容	C-Na	31
已	F-D	3
超過	X-VJ	4
情誼	C-Na	2
故	F-Cbb	2
告	X-VC	3
通姦罪	C-Na	4
作	X-VC	2
釐清	X-VC	4
同	X-Nes	6
實有	X-VJ	2
情事	C-Na	3
足以	X-VL	2
構成	X-VG	2
結婚	C-VA	14
多	X-Neqa	4
久	C-VH	2
四	X-Neu	4
年	X-Nf	8
國外	C-Nc	5
前	X-Ng	4
剛	F-D	4
教	X-VC	14
葡萄牙文	C-Na	10
過去	X-Nd	3
開始	C-VH	16
繼續	X-VF	4
很多	X-Neqa	9
學	X-VC	6
語言	C-Na	3
授課	C-VA	2
時數	C-Na	2
一直	F-D	5
有時候	F-D	3
甚至	F-D	2
一兩	X-Neu	2
課程	C-Na	24
空窗期	C-Na	2
英文	C-Na	14
母語	C-Na	2
進修	X-VC	4
講到	X-VE	3
念	X-VC	4
學位	C-Na	14
必須	F-D	8
取得	X-VC	4
英語	C-Na	4
教學	C-VA	10
網路	C-Na	2
找到	X-VC	4
美國	C-Nc	6
加州	C-Nc	2
提供	C-VD	10
遠距	X-A	2
用	F-P	9
函授	X-VC	2
完成	X-VC	10
要求	X-VF	7
所有	X-Neqa	4
學分	C-Na	2
碩士	C-Na	16
計畫	X-VF	5
透過	F-P	2
教師	C-Na	2
對象	C-Na	2
樣	X-Nf	4
關係	C-Na	6
中師	C-Nc	6
外師	C-Na	2
搭檔	C-VA	4
女	C-Na	5
班	C-Nc	2
注意到	X-VK	2
留在	X-VCL	2
學校	C-Nc	2
只不過	X-Da	2
美語	C-Na	2
溝通	X-VC	10
接到	X-VC	5
電話	C-Na	6
面前	C-Nc	2
特地	F-D	2
書房	C-Nc	2
有所	X-VJ	3
查看	X-VE	3
不尋常	C-VH	2
好奇	C-VH	2
查	X-VE	4
幾乎	X-Da	2
通	X-Nf	4
還好	C-VH	2
不宜	X-VL	1
罷了	F-T	2
已婚	C-VH	2
字句	C-Na	2
卷夾	C-Na	2
第13	X	2
這邊	X-Ncd	7
封	X-Nf	6
101年	X	3
11月	X	1
21點	X	2
50分	X	4
發送到	C-VD	2
發信人	C-Na	2
待	X-VC	2
思想	C-Na	2
西化	C-VHC	2
情感	C-Na	2
開放	C-VH	2
一點	X-Neqa	3
愛	X-VL	4
前面	X-Ncd	3
句	X-Nf	9
上班	C-VA	2
上課	C-VA	2
輔助	X-VC	2
1月	X	2
13日	X	2
23點	X	2
55分	X	2
發送給	C-VD	2
作業	C-Na	18
到底	F-D	2
文化	C-Na	4
一定	X-A	3
中文	C-Na	8
練習	C-Na	2
翻譯	X-VC	2
句子	C-Na	2
就是說	F-Dk	2
答案	C-Na	2
打成	X-VG	2
解答	C-Na	2
第14	X	2
業	C-Na	1
這些	X-Neqa	7
尋求	X-VC	3
發給	C-VD	2
根據	F-P	2
說法	C-Na	2
夫妻	C-Na	3
之間	X-Ng	8
似乎	F-D	2
有些	X-Neqa	2
愉快	C-VH	2
年期	C-Na	2
最後	X-Nd	6
註冊	C-VA	2
學期	C-Na	6
誠如	F-P	2
述	X-VE	2
合理	C-VH	2
推斷	X-VE	2
卻	F-D	4
儘管	F-Cbb	2
不斷	F-D	2
更加	X-Dfa	3
流利	C-VH	2
扮演	X-VC	2
角色	C-Na	3
像	F-P	4
家教	C-Na	2
囉	F-T	2
付錢	C-VA	4
半夜	X-Nd	2
就寢	C-VA	2
不辭辛勞	C-VA	2
家	C-Nc	3
傳喚	X-VC	3
事證	C-Na	6
傳訊	X-VC	2
伯元	C-Nb	1
以及	F-Caa	3
那些	X-Neqa	4
撰寫	X-VC	3
背景	C-Na	2
聽說	X-VE	2
採取	X-VC	3
行動	C-Na	3
其中	F-Nep	2
更	X-Dfa	4
試圖	X-VF	2
說服	X-VF	3
女王	C-Na	1
彩燕	C-Nb	1
離職	C-VH	2
能不能	F-D	2
求證	X-VE	2
法庭	C-Nc	7
05日	X	1
實在	F-D	4
理由	C-Na	3
藉口	C-Na	2
互動	C-VA	4
尤其	F-D	2
大多	X-Neqa	2
晚上	X-Nd	4
九點鐘	X-Nd	2
起人	C-Na	2
疑竇	C-Na	2
06月	X	1
09日	X	1
30分	X	4
詰問	X-VE	2
妨害	X-VJ	4
名譽	C-Na	9
姜彤	C-Nb	1
學勤路	C-Nc	1
192號	X	1
具結	X-VC	1
109年	X	11
7月	X	3
22日	X	1
起因	C-Na	1
涉嫌	X-VK	1
108年	X	2
1日	X	1
